Social Category,Age of Death (years)
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,48
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,49
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,50
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,51
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,52
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,53
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,54
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,55
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,56
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,57
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,58
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,59
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,60
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,61
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,62
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,63
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,64
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,65
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,66
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,67
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,68
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,69
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,70
Aristocracy,71
Aristocracy,71
